Identification,,,Tool Context,,Tool Accessibility and Sustainability,,,,,,Openness,
"```json
{
    ""title"": ""Automated computer forensics training in a virtualized environment""
}
```",Fordroid,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automated identification of installed malicious Android applications""
}
```",Tractor Beam,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automated identification of installed malicious Android applications""
}
```",Analysis Framework,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automated mapping of large binary objects using primitive fragment type classification""
}
```",binmap,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automatic profile generation for live Linux Memory analysis""
}
```",Layout Expert,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Beyond the dictionary attack: Enhancing password cracking efficiency through machine learning-induced mangling rules""
}
```",RuleForge,2025,created,academic_research_DFRWS,https://github.com/nesfit/RuleForge/,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Beyond timestamps: Integrating implicit timing information into digital forensic timelines""
}
```",hyper timeline,2024,created,academic_research_DFRWS,https://github.com/hypertimeline/hypertimeline,Github,repository platform,accessible,recent activity,11-Jul-24,open-source,
"```json
{
    ""title"": ""Bike computer forensics: An efficient and robust method for FIT file recovery""
}
```",BikeComputer_FIT_file_Recovery,2023,created,academic_research_DFRWS,https://github.com/kyl3song/BikeComputer_FIT_file_Recovery,Github,repository platform,accessible,no recent activity,15-Oct-23,open-source,
"```json
{
    ""title"": ""Bin-Carver: Automatic recovery of binary executable ï¬les""
}
```",Bin-Carver,2012,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""BinComp: A strati ï¬ed approach to compiler provenance Attribution*""
}
```",BinComp,2015,created,academic_research_DFRWS,https://github.com/BinSigma/BinComp,Github,repository platform,accessible,no recent activity,23-Apr-15,open-source,
"```json
{
    ""title"": ""BinGold : Towards robust binary analysis by extracting the semantics of binary code as semantic flow graphs (SFGs)*""
}
```",BinGold,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""BlackFeather: A framework for background noise forensics""
}
```",BlackFeather,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""BlockQuery: Toward forensically sound cryptocurrency investigation""
}
```",BlockQuery,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""BMCLeech: Introducing Stealthy Memory Forensics to BMC""
}
```",BMCLeech,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""BMCLeech: Introducing Stealthy Memory Forensics to BMC""
}
```",libaspeedxdma,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""bring2lite: A Structural Concept and Tool for Forensic Data Analysis and Recovery of Deleted SQLite Records""
}
```",bring2lite,2019,created,academic_research_DFRWS,https://github.com/bring2lite/bring2lite,Github,repository platform,accessible,no recent activity,5-Aug-19,open-source,
"```json
{
    ""title"": ""Carving database storage to detect and trace security breaches""
}
```",DBDetective,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""CAT Detect (Computer Activity Timeline Detection): A tool for detecting inconsistency in computer activity timelines""
}
```",CAT Detect,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""CATCH: Cloud Data Acquisition through Comprehensive and Hybrid Approaches""
}
```",CATCH,2022,created,academic_research_DFRWS,https://github.com/dfrc-korea/CATCH_OneDrive,Github,repository platform,accessible,no recent activity,21-Sep-22,open-source,
"```json
{
    ""title"": ""Certificate Injection-Based Encrypted Traffic Forensics in AI Speaker Ecosystem""
}
```",Verification Tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Characteristics and detectability of Windows auto-start extensibility points in memory forensics""
}
```",Winesap,2019,created,academic_research_DFRWS,https://gitlab.unizar.es/rrodrigu/winesap,Gitlab,repository platform,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Chip chop dsmashing the mobile phone secure chip for fun and digital forensics""
}
```",chip_breaker,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Chracer : Memory analysis of Chromium-based browsers""
}
```",Chracer,2023,created,academic_research_DFRWS,https://github.com/geun-yeong/Chracer,Github,repository platform,accessible,recent activity,18-Oct-24,open-source,
"```json
{
    ""title"": ""Coffee forensics dReconstructing data in IoT devices running Contiki OS""
}
```",COFFOR,2021,created,academic_research_DFRWS,https://github.com/jenspets/coffor,Github,repository platform,accessible,no recent activity,23-Jun-21,open-source,
"```json
{
    ""title"": ""Combining AI and AM eImproving approximate matching through transformer networks""
}
```",Deep Learning Approximate Matching (DLAM),2023,created,academic_research_DFRWS,https://github.com/warlmare/DLAM,Github,repository platform,accessible,no recent activity,11-Jul-23,open-source,
"```json
{
    ""title"": ""Comprehending the IoT cyber threat landscape: A data dimensionality reduction technique to infer and characterize Internet-scale IoT probing campaigns""
}
```",L1-norm PCA,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Computer forensic timeline visualization tool""
}
```",CyberForensic TimeLab,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Control Logic Forensics Framework using Built-in Decompiler of Engineering Software in Industrial Control Systems""
}
```",Reditus,2020,created,academic_research_DFRWS,https://gitlab.com/sqasim1/reditus-framework,Gitlab,repository platform,accessible,no recent activity,27-Mar-20,open-source,
"```json
{
    ""title"": ""Cooperative mode: Comparative storage metadata veriï¬cation applied to the Xbox 360""
}
```",FSNView,2014,created,academic_research_DFRWS,https://github.com/ajnelson/fsnview,Github,repository platform,accessible,no recent activity,4-Aug-14,open-source,
"```json
{
    ""title"": ""Cooperative mode: Comparative storage metadata veriï¬cation applied to the Xbox 360""
}
```",UPartsFS,,created,academic_research_DFRWS,https://github.com/ajnelson/upartsfs,Github,repository platform,accessible,no recent activity,7-Feb-14,open-source,
"```json
{
    ""title"": ""cRGB_Mem : At the intersection of memory forensics and machine learning""
}
```",RGB_Mem,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Cyber Grand Challenge (CGC) monitor: A vetting system for the DARPA cyber grand challenge""
}
```",CGC Monitor,,created,academic_research_DFRWS,https://github.com/mfthomps/cgc-monitor,Github,repository platform,accessible,no recent activity,29-Apr-19,open-source,
"```json
{
    ""title"": ""Extensible and scalable system for hash lookup and approximate similarity search with similarity digest algorithms""
}
```",APOTHEOSIS,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Data-driven approach for automatic telephony threat analysis and campaign detection""
}
```",Telephony Abuse Intelligence Framework (TAINT),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Data remnants analysis of document files in Windows: Microsoft 365 as a case study""
}
```",DRFT,2023,created,academic_research_DFRWS,https://github.com/tmpdrft/drft,Github,repository platform,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Database forensic analysis through internal structure carving""
}
```",Universal Database Carving Tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Database image content explorer: Carving data that does not ofï¬cially exist""
}
```",Database Image Content Explorer (DICE),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""DB3F &DF-Toolkit: The Database Forensic File Format and the Database Forensic Toolkit""
}
```",Database Forensic File Format (DB3F),2019,created,academic_research_DFRWS,http://dbgroup.cdm.depaul.edu/DF-Toolkit.html,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""dbling: Identifying extensions installed on encrypted web thin clients""
}
```",dbling,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": "" Dead Man's Switch: Forensic Autopsy of the Nintendo Switch""
}
```",Autopsy modules,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Decrypting IndexedDB in private mode of Gecko-based browsers""
}
```",Gecko IndexedDB CacheAPI decryptor,,created,academic_research_DFRWS,https://github.com/esrever98/Gecko-IndexedDB-CacheAPI-Decryptor,Github,repository platform,accessible,recent activity,2024,open-source,
"```json
{
    ""title"": ""Deleted ï¬le fragment dating by analysis of allocated neighbors""
}
```",C# application,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Deleting collected digital evidence by exploiting a widely adopted hardware write blocker""
}
```",process.py,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Deleting collected digital evidence by exploiting a widely adopted hardware write blocker""
}
```",callprocess.sh,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Design and implementation of FROST: Digital forensic tools for the OpenStack cloud computing platform""
}
```",FROST,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Detecting data theft using stochastic forensics""
}
```",Simulation Model,2011,created,academic_research_DFRWS,http://grierforensics.com/datatheft/sim/,personal website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""DEX: Digital evidence provenance supporting reproducibility and comparison""
}
```",DEX,2009,created,academic_research_DFRWS,http://prisms.cs.umass.edu/forensics,research-group website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""DiagAnalyzer: User behavior analysis and visualization using Windows Diagnostics logs""
}
```",DiagAnalyzer,2022,created,academic_research_DFRWS,https://github.com/L4wk3R/DiagAnalyzer,Github,repository platform,accessible,no recent activity,30-Apr-22,open-source,
"```json
{
    ""title"": ""DIALOG: A framework for modeling, analysis and reuse of digital forensic knowledge""
}
```",DIALOG,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Digital forensic approaches for Amazon Alexa ecosystem""
}
```",CIFT,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Digital forensic approaches for metaverse ecosystems""
}
```",Metaverse Digital Forensic Tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Digital Forensic Practices and Methodologies for AI Speaker Ecosystems""
}
```",Forensic tool for collecting user command history for NAVER Clova,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Digital investigations for IPv6-based Wireless Sensor Networks""
}
```",BooTTY,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Digital investigations for IPv6-based Wireless Sensor Networks""
}
```",Ball,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Digital investigations for IPv6-based Wireless Sensor Networks""
}
```",analysis tool for RAM dumps,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Discovering spoliation of evidence through identifying traces on deleted ï¬les in macOS""
}
```",self-developed tool,2023,created,academic_research_DFRWS,https://github.com/blackmax90/TraceEvidence-on-macOS,Github,repository platform,accessible,no recent activity,9-Jul-23,open-source,
"```json
{
    ""title"": ""Distributed forensics and incident response in the enterprise""
}
```",GRR Rapid Response Framework,2011,created,academic_research_DFRWS,https://github.com/google/grr,Github,repository platform,accessible,recent activity,26-May,open-source,
"```json
{
    ""title"": ""Do You â€œRelay â€ Want to Give Me Away? â€“ Forensic Cues of Smart Relays and Their IoT Companion Apps""
}
```",Tool for Evidence Acquisition from Smart Relays (TEASR),2024,created,academic_research_DFRWS,https://github.com/mxchhrn/teasr,Github,repository platform,accessible,recent activity,26-May,open-source,
"```json
{
    ""title"": ""DroidKex: Fast extraction of ephemeral TLS keys from the memory of Android apps""
}
```",DroidKex,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""DroidKex: Fast extraction of ephemeral TLS keys from the memory of Android apps""
}
```",eDroidKex,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""DROP (DRone Open source Parser) your drone: Forensic analysis of the DJI Phantom III""
}
```",DROP,2017,created,academic_research_DFRWS,https://github.com/unhcfreg/DROP,Github,repository platform,accessible,no recent activity,23-Dec-17,open-source,
"```json
{
    ""title"": ""Duck Hunt: Memory forensics of USB attack platforms""
}
```",usbhunt,2021,created,academic_research_DFRWS,https://github.com/unhcfreg/DuckHunt,Github,repository platform,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Duck Hunt: Memory forensics of USB attack platforms""
}
```",dhcphunt,2021,created,academic_research_DFRWS,https://github.com/unhcfreg/DuckHunt,Github,repository platform,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Dynamic recreation of kernel data structures for live forensics""
}
```",RAMPARSER,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""E-mail authorship attribution using customized associative classification""
}
```",CMARAA,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Evaluating atomicity, and integrity of correct memory acquisition methods""
}
```",RAMMANGL.EXE,,created,academic_research_DFRWS,https://www1.cs.fau.de/projects/rammangler,research-group website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Every step you take, I'll be tracking you: Forensic analysis of the tile tracker application""
}
```",Tile Artifact Parser (TAP),2023,created,academic_research_DFRWS,https://github.com/BiTLab-BaggiliTruthLab/TAP,Github,repository platform,accessible,no recent activity,12-Jun-23,open-source,
"```json
{
    ""title"": ""Evidence gathering for network security and forensics""
}
```",evidence gathering framework,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""EviPlant: An ef ï¬cient digital forensic challenge creation, manipulation and distribution solution""
}
```",EviPlant,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""EviPlant: An ef ï¬cient digital forensic challenge creation, manipulation and distribution solution""
}
```",difï¬ng tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""EviPlant: An ef ï¬cient digital forensic challenge creation, manipulation and distribution solution""
}
```",injection tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Expanding digital forensics education with artifact curation and scalable, accessible exercises via the Artifact Genome Project""
}
```",Artifact Genome Project (AGP),,created,academic_research_DFRWS,https://agp.newhaven.edu/,research-group website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Experience constructing the Artifact Genome Project (AGP): Managing the domain's knowledge one artifact at a time""
}
```",Artifact Genome Project (AGP),2023,created,academic_research_DFRWS,https://agp.newhaven.edu,research-group website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Extracting the windows clipboard from physical memory""
}
```",CMAT,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Extracting Windows command line details from physical memory""
}
```",cmd_history.py,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Extraction and analysis of retrievable memory artifacts from Windows Telegram Desktop application""
}
```",Windows Memory Extractor,2022,created,academic_research_DFRWS,https://github.com/reverseame/windows-memory-extractor,Github,repository platform,accessible,no recent activity,3-Jul-23,open-source,
"```json
{
    ""title"": ""Extraction and analysis of retrievable memory artifacts from Windows Telegram Desktop application""
}
```",IM Artifact Finder,2022,created,academic_research_DFRWS,https://github.com/reverseame/instant-messaging-artifact-finder,Github,repository platform,accessible,no recent activity,10-Dec-21,open-source,
"```json
{
    ""title"": ""FACE: Automated digital evidence discovery and correlation""
}
```",ramparser,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Facilitating Electromagnetic Side-Channel Analysis for IoT Investigation: Evaluating the EMvidence Framework""
}
```",EMvidence,2020,created,academic_research_DFRWS,https://github.com/asanka-code/EMvidence,Github,repository platform,accessible,no recent activity,4-Jun-20,open-source,
